iter	Passed	Remaining
755	8113	2618
756	8122	2607
757	8131	2596
758	8140	2584
759	8149	2573
760	8159	2562
761	8169	2551
762	8179	2540
763	8189	2529
764	8201	2519
765	8211	2508
766	8220	2497
767	8230	2486
768	8239	2475
769	8248	2463
770	8258	2452
771	8267	2441
772	8277	2430
773	8286	2419
774	8295	2408
775	8305	2397
776	8315	2386
777	8326	2375
778	8336	2364
779	8346	2354
780	8355	2343
781	8364	2331
782	8374	2320
783	8383	2309
784	8392	2298
785	8402	2287
786	8412	2276
787	8422	2266
788	8432	2255
789	8442	2244
790	8453	2233
791	8463	2222
792	8472	2211
793	8482	2200
794	8492	2189
795	8502	2178
796	8512	2168
797	8521	2157
798	8531	2146
799	8540	2135
800	8550	2124
801	8559	2113
802	8569	2102
803	8579	2091
804	8589	2080
805	8599	2069
806	8610	2059
807	8620	2048
808	8630	2037
809	8640	2026
810	8651	2016
811	8666	2006
812	8676	1995
813	8686	1984
814	8696	1974
815	8707	1963
816	8717	1952
817	8727	1941
818	8737	1931
819	8747	1920
820	8757	1909
821	8767	1898
822	8777	1887
823	8787	1876
824	8797	1866
825	8806	1855
826	8817	1844
827	8828	1833
828	8847	1824
829	8865	1815
830	8875	1804
831	8885	1794
832	8895	1783
833	8906	1772
834	8916	1762
835	8927	1751
836	8938	1740
837	8948	1729
838	8958	1719
839	8969	1708
840	8981	1697
841	8992	1687
842	9002	1676
843	9013	1665
844	9023	1655
845	9033	1644
846	9043	1633
847	9052	1622
848	9062	1611
849	9071	1600
850	9081	1590
851	9091	1579
852	9102	1568
853	9112	1557
854	9123	1547
855	9133	1536
856	9143	1525
857	9153	1514
858	9163	1504
859	9173	1493
860	9183	1482
861	9193	1471
862	9203	1460
863	9212	1450
864	9222	1439
865	9233	1428
866	9243	1417
867	9252	1407
868	9262	1396
869	9271	1385
870	9281	1374
871	9291	1363
872	9301	1353
873	9312	1342
874	9322	1331
875	9332	1321
876	9342	1310
877	9352	1299
878	9362	1288
879	9372	1278
880	9381	1267
881	9391	1256
882	9401	1245
883	9411	1234
884	9420	1224
885	9429	1213
886	9438	1202
887	9446	1191
888	9455	1180
889	9465	1169
890	9475	1159
891	9484	1148
892	9494	1137
893	9503	1126
894	9525	1117
895	9534	1106
896	9543	1095
897	9552	1085
898	9562	1074
899	9572	1063
900	9581	1052
901	9590	1042
902	9600	1031
903	9609	1020
904	9618	1009
905	9628	998
906	9638	988
907	9648	977
908	9657	966
909	9666	956
910	9676	945
911	9685	934
912	9695	923
913	9704	913
914	9713	902
915	9722	891
916	9732	880
917	9741	870
918	9750	859
919	9760	848
920	9769	837
921	9778	827
922	9788	816
923	9797	805
924	9806	795
925	9816	784
926	9825	773
927	9835	763
928	9844	752
929	9854	741
930	9863	730
931	9873	720
932	9882	709
933	9891	699
934	9901	688
935	9911	677
936	9921	667
937	9931	656
938	9940	645
939	9950	635
940	9966	624
941	9975	614
942	9985	603
943	9994	592
944	10004	582
945	10013	571
946	10022	560
947	10032	550
948	10041	539
949	10052	529
950	10062	518
951	10072	507
952	10081	497
953	10092	486
954	10104	476
955	10115	465
956	10133	455
957	10143	444
958	10153	434
959	10163	423
960	10172	412
961	10181	402
962	10191	391
963	10200	380
964	10211	370
965	10221	359
966	10230	349
967	10240	338
968	10249	327
969	10260	317
970	10269	306
971	10289	296
972	10299	285
973	10309	275
974	10318	264
975	10328	253
976	10338	243
977	10347	232
978	10357	222
979	10368	211
980	10378	201
981	10387	190
982	10397	179
983	10406	169
984	10416	158
985	10426	148
986	10437	137
987	10448	126
988	10459	116
989	10469	105
990	10480	95
991	10490	84
992	10502	74
993	10513	63
994	10524	52
995	10534	42
996	10545	31
997	10555	21
998	10565	10
999	10575	0
